Feature type	Feature name
Cytoplasm	Cytoplasm_RadialDistribution_MeanFrac_RNA_2of4
Cytoplasm	Cytoplasm_RadialDistribution_MeanFrac_RNA_3of4
Cytoplasm	Cytoplasm_RadialDistribution_MeanFrac_RNA_4of4
Cytoplasm	Cytoplasm_RadialDistribution_RadialCV_AGP_1of4
Cytoplasm	Cytoplasm_RadialDistribution_RadialCV_AGP_2of4
Cytoplasm	Cytoplasm_RadialDistribution_RadialCV_AGP_3of4
Cytoplasm	Cytoplasm_RadialDistribution_RadialCV_AGP_4of4
Cytoplasm	Cytoplasm_RadialDistribution_RadialCV_ER_1of4
Cytoplasm	Cytoplasm_RadialDistribution_RadialCV_ER_2of4
Cytoplasm	Cytoplasm_RadialDistribution_RadialCV_ER_3of4
Cytoplasm	Cytoplasm_RadialDistribution_RadialCV_ER_4of4
Cytoplasm	Cytoplasm_RadialDistribution_RadialCV_Mito_1of4
Cytoplasm	Cytoplasm_RadialDistribution_RadialCV_Mito_2of4
Cytoplasm	Cytoplasm_RadialDistribution_RadialCV_Mito_3of4
Cytoplasm	Cytoplasm_RadialDistribution_RadialCV_Mito_4of4
Cytoplasm	Cytoplasm_RadialDistribution_RadialCV_RNA_1of4
Cytoplasm	Cytoplasm_RadialDistribution_RadialCV_RNA_2of4
Cytoplasm	Cytoplasm_RadialDistribution_RadialCV_RNA_3of4
Cytoplasm	Cytoplasm_RadialDistribution_RadialCV_RNA_4of4
Cytoplasm	Cytoplasm_Texture_AngularSecondMoment_AGP_10_0
Cytoplasm	Cytoplasm_Texture_AngularSecondMoment_AGP_20_0
Cytoplasm	Cytoplasm_Texture_AngularSecondMoment_AGP_5_0
Cytoplasm	Cytoplasm_Texture_AngularSecondMoment_DNA_10_0
Cytoplasm	Cytoplasm_Texture_AngularSecondMoment_DNA_20_0
Cytoplasm	Cytoplasm_Texture_AngularSecondMoment_DNA_5_0
Cytoplasm	Cytoplasm_Texture_AngularSecondMoment_ER_10_0
Cytoplasm	Cytoplasm_Texture_AngularSecondMoment_ER_20_0
